"replicate","truepopsize","afpopsize","genopopsize","rarefreqcutoff","raregeno_mean","raregeno_sd","rarealleles_mean","rarealleles_sd","findgeno_mean","findgeno_sd","findalleles_mean","findalleles_sd"
52,1e+05,100,50,0.1,0.03464,0.00564876724857481,0.03464,0.00564876724857481,0.0028385698808234,0.00864853296602791,0.0876273022751896,0.0664362740996978
53,1e+05,100,50,0.1,0.0318,0.004602572483882,0.0318,0.004602572483882,0.00287317620650954,0.00825470032335923,0.0879236812570146,0.0661803698986056
54,1e+05,100,50,0.1,0.03314,0.00591783882228391,0.03314,0.00591783882228391,0.00314977973568282,0.00851690257660556,0.0874669603524229,0.064667532472878
55,1e+05,100,50,0.1,0.03472,0.00651541343622168,0.03472,0.00651541343622168,0.0027765726681128,0.00813111702214584,0.0908026030368764,0.0670553766140172
56,1e+05,100,50,0.1,0.0345,0.00629949787438553,0.0345,0.00629949787438553,0.00291347207009858,0.00793685083638685,0.0907557502738226,0.0672027122298113
57,1e+05,100,50,0.1,0.03366,0.00548694182694193,0.03366,0.00548694182694193,0.00334070796460177,0.00862091137281956,0.0918805309734513,0.0676909390592678
58,1e+05,100,50,0.1,0.03274,0.00548024280707432,0.03274,0.00548024280707432,0.002882096069869,0.0084408107226933,0.0888646288209607,0.0658663924518124
59,1e+05,100,50,0.1,0.03356,0.00503116816069832,0.03356,0.00503116816069832,0.00299667036625971,0.00829383907964211,0.0881908990011099,0.0663521846359913
60,1e+05,100,50,0.1,0.03576,0.00584688998091974,0.03576,0.00584688998091974,0.00287912087912088,0.00785293196713315,0.0945054945054945,0.0661275850574537
61,1e+05,100,50,0.1,0.03274,0.00601294521878269,0.03274,0.00601294521878269,0.00339539978094195,0.00890213979051488,0.0908433734939759,0.0678964204222205
62,1e+05,100,50,0.1,0.036,0.00537188447913233,0.036,0.00537188447913233,0.00264232008592911,0.0074415205831811,0.0906552094522019,0.0671116893030715
63,1e+05,100,50,0.1,0.03576,0.00514904389777602,0.03576,0.00514904389777602,0.0027114967462039,0.00790972807317855,0.0904338394793926,0.0647187724320548
64,1e+05,100,50,0.1,0.0322,0.00514285714285714,0.0322,0.00514285714285714,0.00295884315906563,0.00863317507065278,0.0847163515016685,0.063245576705926
65,1e+05,100,50,0.1,0.0356,0.00594532915619566,0.0356,0.00594532915619566,0.00326754385964912,0.00855425759780858,0.0907456140350877,0.0659532231407396
66,1e+05,100,50,0.1,0.0323,0.00549675228787743,0.0323,0.00549675228787743,0.00285714285714286,0.00848031620901437,0.0854505494505494,0.0649495469311562
67,1e+05,100,50,0.1,0.03472,0.00611134775876577,0.03472,0.00611134775876577,0.00280662983425414,0.00801486176387469,0.0928618784530387,0.0681413137875812
68,1e+05,100,50,0.1,0.03378,0.00519139790855006,0.03378,0.00519139790855006,0.00295331161780673,0.00823348098497608,0.0858631921824104,0.0641155441559033
69,1e+05,100,50,0.1,0.03194,0.00618229862806146,0.03194,0.00618229862806146,0.00291304347826087,0.00803914819343557,0.0884130434782609,0.0647022395896754
70,1e+05,100,50,0.1,0.03378,0.00533486797648551,0.03378,0.00533486797648551,0.00286966046002191,0.00795281380158346,0.088368017524644,0.0643597716284782
71,1e+05,100,50,0.1,0.03502,0.00619575233032886,0.03502,0.00619575233032886,0.00264770240700219,0.00807905627202214,0.0874835886214442,0.065203466651244
72,1e+05,100,50,0.1,0.0349,0.00620483682299543,0.0349,0.00620483682299543,0.0028169014084507,0.00816558942710228,0.0896858071505959,0.0644028879662079
73,1e+05,100,50,0.1,0.03186,0.00504676093334798,0.03186,0.00504676093334798,0.00278867102396514,0.00803895926484123,0.08880174291939,0.0649677540786447
74,1e+05,100,50,0.1,0.0338,0.00601698276818648,0.0338,0.00601698276818648,0.00307354555433589,0.00839898426929647,0.0885839736553238,0.0661639100690194
